#Companies are listed in decreasing order of the number of missing values in their life span
#<company>	<T1>	<T2>	<#observed in [T1, T2]>	<#missing in [T1, T2]>
150      1   8010   2982   5028
49      1   6734   2416   4318
364      1   7986   4737   3249
328      1   8769   6026   2743
298      1   9335   6762   2573
196      1   9185   7100   2085
607      1   8830   6969   1861
223      1   5376   3523   1853
380      1   9335   7557   1778
212      1   9335   7826   1509
402      1   5412   4034   1378
285      1   7546   6212   1334
506      1   5915   4685   1230
104      1   9335   8140   1195
706   4032   9335   4126   1178
34   2770   9335   5394   1172
574      1   5447   4331   1116
631   2869   8256   4426    962
171      1   9335   8417    918
26   2713   9335   5712    911
703   4010   9335   4418    908
371      1   5198   4331    867
151      1   9335   8471    864
439      1   9335   8612    723
187      1   9335   8620    715
814   5177   9335   3481    678
866   2428   7670   4599    644
540      1   9335   8756    579
820   5240   9335   3550    546
114      1   6305   5826    479
747   4414   8708   3828    467
903   6192   9335   2677    467
728   4172   6314   1679    464
900   6171   9335   2708    457
244      1   6069   5614    455
77   6031   9335   2942    363
84      1   9335   8988    347
885   5950   8129   1834    346
545      1   9335   9019    316
598      1   9335   9024    311
341      1   7251   6949    302
61   3074   9335   6004    258
30   2738   8399   5420    242
899   6137   9189   2828    225
744   4367   9335   4745    224
400      1   5390   5200    190
12   2616   6400   3609    176
426      1   6478   6319    159
584      1   6726   6573    153
178      1   9335   9247     88
157    201   9335   9059     76
334      1   9335   9261     74
784   4855   9335   4417     64
343      1   9335   9286     49
37   1239   6710   5436     36
592    541   9335   8759     36
289      1   6317   6284     33
368      1   3643   3618     25
376   1211   8387   7153     24
43      1   3145   3127     18
80   1809   7507   5681     18
189      1   3701   3683     18
155      1   2762   2750     12
461      1   2935   2923     12
176      1   9335   9324     11
523      1   8475   8465     10
326      1   5180   5171      9
460      1   7623   7614      9
561     29   9335   9298      9
567      1   9335   9326      9
454      1   8293   8285      8
599   1365   3405   2033      8
615   2625   9335   6703      8
733   2399   4740   2334      8
4      1    592    585      7
271      1   1749   1742      7
432      1   9335   9328      7
24   2683   6670   3982      6
322      1   7967   7961      6
362      1   5228   5222      6
431      1   6016   6010      6
367      1   9335   9330      5
483      1   5738   5733      5
661    976   2900   1920      5
140      1   4515   4511      4
152      1   9335   9331      4
294      1   5342   5338      4
381      1   6337   6333      4
428      1   5933   5929      4
504      1   9335   9331      4
542      1   5747   5743      4
548    663   6170   5504      4
569    112   8264   8149      4
575      1   9335   9331      4
579      1   7300   7296      4
941   7269   8673   1401      4
119      1    761    758      3
174      1   6617   6614      3
199      1   1925   1922      3
203      1   4854   4851      3
340      1   9335   9332      3
496   1535   2120    583      3
498      1   9335   9332      3
511      1   5181   5178      3
573   1347   9335   7986      3
690      1   9335   9332      3
710   4060   9335   5273      3
817   1811   3340   1527      3
8      1   9335   9333      2
19      1   7546   7544      2
27      1   1790   1788      2
36   2782   7166   4383      2
48      1   2235   2233      2
67      1   9335   9333      2
71      1   8432   8430      2
100      1   6201   6199      2
163      1   9335   9333      2
179      1   1192   1190      2
182      1   2056   2054      2
190    118   9335   9216      2
254      1   7569   7567      2
297      1   4715   4713      2
299      1   7181   7179      2
342      1   5711   5709      2
