#<date in matlab serial format>	<date in the format dd mmm yyyy>	<time index>
721721	02 Jan 1976	1
721724	05 Jan 1976	2
721725	06 Jan 1976	3
721726	07 Jan 1976	4
721727	08 Jan 1976	5
721728	09 Jan 1976	6
721731	12 Jan 1976	7
721732	13 Jan 1976	8
721733	14 Jan 1976	9
721734	15 Jan 1976	10
721735	16 Jan 1976	11
721738	19 Jan 1976	12
721739	20 Jan 1976	13
721740	21 Jan 1976	14
721741	22 Jan 1976	15
721742	23 Jan 1976	16
721745	26 Jan 1976	17
721746	27 Jan 1976	18
721747	28 Jan 1976	19
721748	29 Jan 1976	20
721749	30 Jan 1976	21
721752	02 Feb 1976	22
721753	03 Feb 1976	23
721754	04 Feb 1976	24
721755	05 Feb 1976	25
721756	06 Feb 1976	26
721759	09 Feb 1976	27
721760	10 Feb 1976	28
721761	11 Feb 1976	29
721762	12 Feb 1976	30
721763	13 Feb 1976	31
721767	17 Feb 1976	32
721768	18 Feb 1976	33
721769	19 Feb 1976	34
721770	20 Feb 1976	35
721773	23 Feb 1976	36
721774	24 Feb 1976	37
721775	25 Feb 1976	38
721776	26 Feb 1976	39
721777	27 Feb 1976	40
721780	01 Mar 1976	41
721781	02 Mar 1976	42
721782	03 Mar 1976	43
721783	04 Mar 1976	44
721784	05 Mar 1976	45
721787	08 Mar 1976	46
721788	09 Mar 1976	47
721789	10 Mar 1976	48
721790	11 Mar 1976	49
721791	12 Mar 1976	50
721794	15 Mar 1976	51
721795	16 Mar 1976	52
721796	17 Mar 1976	53
721797	18 Mar 1976	54
721798	19 Mar 1976	55
721801	22 Mar 1976	56
721802	23 Mar 1976	57
721803	24 Mar 1976	58
721804	25 Mar 1976	59
721805	26 Mar 1976	60
721808	29 Mar 1976	61
721809	30 Mar 1976	62
721810	31 Mar 1976	63
721811	01 Apr 1976	64
721812	02 Apr 1976	65
721815	05 Apr 1976	66
721816	06 Apr 1976	67
721817	07 Apr 1976	68
721818	08 Apr 1976	69
721819	09 Apr 1976	70
721822	12 Apr 1976	71
721823	13 Apr 1976	72
721824	14 Apr 1976	73
721825	15 Apr 1976	74
721829	19 Apr 1976	75
721830	20 Apr 1976	76
721831	21 Apr 1976	77
721832	22 Apr 1976	78
721833	23 Apr 1976	79
721836	26 Apr 1976	80
721837	27 Apr 1976	81
721838	28 Apr 1976	82
721839	29 Apr 1976	83
721840	30 Apr 1976	84
721843	03 May 1976	85
721844	04 May 1976	86
721845	05 May 1976	87
721846	06 May 1976	88
721847	07 May 1976	89
721850	10 May 1976	90
721851	11 May 1976	91
721852	12 May 1976	92
721853	13 May 1976	93
721854	14 May 1976	94
721857	17 May 1976	95
721858	18 May 1976	96
721859	19 May 1976	97
721860	20 May 1976	98
721861	21 May 1976	99
721864	24 May 1976	100
721865	25 May 1976	101
721866	26 May 1976	102
721867	27 May 1976	103
721868	28 May 1976	104
721872	01 Jun 1976	105
721873	02 Jun 1976	106
721874	03 Jun 1976	107
721875	04 Jun 1976	108
721878	07 Jun 1976	109
721879	08 Jun 1976	110
721880	09 Jun 1976	111
721881	10 Jun 1976	112
721882	11 Jun 1976	113
721885	14 Jun 1976	114
721886	15 Jun 1976	115
721887	16 Jun 1976	116
721888	17 Jun 1976	117
721889	18 Jun 1976	118
721892	21 Jun 1976	119
721893	22 Jun 1976	120
721894	23 Jun 1976	121
721895	24 Jun 1976	122
721896	25 Jun 1976	123
721899	28 Jun 1976	124
721900	29 Jun 1976	125
721901	30 Jun 1976	126
721902	01 Jul 1976	127
721903	02 Jul 1976	128
721907	06 Jul 1976	129
721908	07 Jul 1976	130
721909	08 Jul 1976	131
721910	09 Jul 1976	132
721913	12 Jul 1976	133
721914	13 Jul 1976	134
721915	14 Jul 1976	135
721916	15 Jul 1976	136
721917	16 Jul 1976	137
721920	19 Jul 1976	138
721921	20 Jul 1976	139
721922	21 Jul 1976	140
721923	22 Jul 1976	141
721924	23 Jul 1976	142
721927	26 Jul 1976	143
721928	27 Jul 1976	144
721929	28 Jul 1976	145
721930	29 Jul 1976	146
721931	30 Jul 1976	147
721934	02 Aug 1976	148
721935	03 Aug 1976	149
721936	04 Aug 1976	150
721937	05 Aug 1976	151
721938	06 Aug 1976	152
721941	09 Aug 1976	153
721942	10 Aug 1976	154
721943	11 Aug 1976	155
721944	12 Aug 1976	156
721945	13 Aug 1976	157
721948	16 Aug 1976	158
721949	17 Aug 1976	159
721950	18 Aug 1976	160
721951	19 Aug 1976	161
